Gene_model,Chromosome,Interval,Annotations_clean,IPR_terms,GO_terms
Glyma.14G064200,Gm14,5191134-5196040,subtilisin-like serine protease 2,IPR015500;IPR023828,GO:0004252;GO:0006508;GO:0042802;GO:0043086
Glyma.14G064301,Gm14,5201420-5204545,subtilisin-like serine protease 2,IPR015500,GO:0004252;GO:0006508
Glyma.14G064400,Gm14,5209399-5216029,subtilisin-like serine protease 2,IPR015500;IPR023828,GO:0004252;GO:0006508;GO:0042802;GO:0043086
Glyma.14G064502,Gm14,5218808-5226903,subtilisin-like serine protease 2,IPR015500;IPR023828,GO:0004252;GO:0006508;GO:0042802;GO:0043086
Glyma.14G064600,Gm14,5230408-5240244,subtilisin-like serine protease 2,IPR015500;IPR023828,GO:0004252;GO:0006508;GO:0042802;GO:0043086
Glyma.14G064700,Gm14,5244923-5250968,subtilisin-like serine protease 2,IPR015500;IPR023828,GO:0004252;GO:0006508;GO:0042802;GO:0043086
Glyma.14G064800,Gm14,5256911-5259301,"GTP-binding nuclear protein Ran-3 [Glycine max];  ,",IPR001806;IPR002041;IPR005225;IPR027417,GO:0003924;GO:0005525;GO:0005622;GO:0006184;GO:0006886;GO:0006913;GO:0007165;GO:0007264;GO:0015031;GO:0016020
Glyma.14G064900,Gm14,5265970-5269529,mitochondrial substrate carrier family protein B-like [Glycine max],IPR002067;IPR023395,GO:0055085
Glyma.14G065000,Gm14,5270481-5275916,protein DA1-related 2-like isoform X1 [Glycine max],IPR001781;IPR022087,GO:0008270
Glyma.14G065100,Gm14,5285319-5292166,DDB1- and CUL4-associated factor 13 [Glycine max]; ,IPR007287;IPR011047;IPR015943,GO:0005515
Glyma.14G065200,Gm14,5294985-5299003,serine/threonine protein phosphatase 2A;,IPR004843,GO:0016787
Glyma.14G065300,Gm14,5299621-5306673,Transducin/WD40 repeat-like superfamily protein;,IPR015943,GO:0005515
Glyma.14G065400,Gm14,5307764-5314871,folylpolyglutamate synthase-like isoform X2 [Glycine max],IPR001645,GO:0004326;GO:0005524;GO:0009058;GO:0009396;GO:0016874
Glyma.14G065450,Gm14,5315466-5317417,probable glycosyltransferase At5g03795-like [Glycine max];,IPR004263,NA
Glyma.14G065500,Gm14,5318616-5323083,Integral membrane Yip1 family protein;,IPR006977,GO:0016020
Glyma.14G065600,Gm14,5325043-5332791,delta-1-pyrroline-5-carboxylate synthetase; ,IPR001057;IPR016161,GO:0003824;GO:0004349;GO:0004350;GO:0005737;GO:0006561;GO:0008152;GO:0016491;GO:0055114
Glyma.14G065700,Gm14,5333188-5334631,Mitochondrial glycoprotein family protein;,IPR003428,GO:0005759
Glyma.14G065800,Gm14,5338935-5343384,"histone acetyltransferase type B catalytic subunit, putative",IPR017380,GO:0004402;GO:0005634;GO:0006348;GO:0016568;GO:0016573
Glyma.14G065900,Gm14,5343522-5348494,mannose-1-phosphate guanyltransferase; ,IPR001451;IPR005835,GO:0009058;GO:0016779
Glyma.14G066000,Gm14,5354379-5360173,Regulator of chromosome condensation (RCC1) family protein;,IPR009091,NA
Glyma.14G066100,Gm14,5364153-5368557,Pentatricopeptide repeat (PPR-like) superfamily protein,IPR002885;IPR011990,GO:0005515
Glyma.14G066150,Gm14,5372282-5372494,Unknown protein,NA,NA
Glyma.14G066200,Gm14,5378729-5383958,probable methyltransferase PMT11-like [Glycine max];,IPR004159,GO:0008168
Glyma.14G066300,Gm14,5392253-5394995,hypothetical protein,NA,NA
Glyma.14G066400,Gm14,5404492-5406955,"Protein phosphatase 2C family protein; -like domain),",IPR001932;IPR015655,GO:0003824;GO:0004722;GO:0006470
Glyma.14G066500,Gm14,5416243-5417899,zinc finger protein 6-like [Glycine max],IPR013087,GO:0003676;GO:0046872
Glyma.14G066600,Gm14,5425335-5433971,ARF guanine-nucleotide exchange factor GNOM-like [Glycine max],IPR000904;IPR016024;IPR023394,GO:0005086;GO:0005488;GO:0032012
Glyma.14G066750,Gm14,5446616-5449015,putative DNA-binding protein ESCAROLA-like [Glycine max];,IPR014476,NA
Glyma.14G066900,Gm14,5463918-5464854,LOB domain-containing protein 33;,IPR004883,NA
Glyma.14G067000,Gm14,5471703-5476297,ribulose bisphosphate carboxylase/oxygenase activase;,IPR027417,GO:0005524
Glyma.14G067100,Gm14,5488241-5490853,transcription factor RADIALIS-like [Glycine max],IPR009057,GO:0003677;GO:0003682
Glyma.14G067200,Gm14,5503250-5505924,glycerol-3-phosphate acyltransferase 5;,IPR002123,GO:0008152
Glyma.14G067300,Gm14,5510106-5511664,RING finger protein 38-like [Glycine max]; ,IPR010543;IPR013083,GO:0005515;GO:0008270
Glyma.14G067400,Gm14,5518307-5519961,Eukaryotic aspartyl protease family protein; ,IPR001461;IPR021109,GO:0004190;GO:0006508
Glyma.14G067500,Gm14,5532647-5533418,ROTUNDIFOLIA like 8;,IPR012552,NA
Glyma.14G067700,Gm14,5609093-5609586,hypothetical protein,NA,NA
Glyma.14G067800,Gm14,5612341-5617043,actin-related protein 5,IPR004000,GO:0006281;GO:0031011
Glyma.14G067900,Gm14,5617587-5618766,ribosomal RNA large subunit methyltransferase; ,IPR015507,GO:0001510;GO:0008168;GO:0032259
Glyma.14G067950,Gm14,5619312-5622335,uncharacterized protein LOC102661550 [Glycine max],NA,NA
Glyma.14G068000,Gm14,5634597-5637057,Cell wall protein EXP2 n=1 Tax=Mirabilis jalapa RepID=Q84L40_MIRJA,IPR007118,GO:0005576;GO:0009664
Glyma.14G068100,Gm14,5638351-5647813,uncharacterized protein LOC100806426 isoform X2 [Glycine max]; ,IPR005379;IPR005380;IPR005381,GO:0031047
Glyma.14G068200,Gm14,5649724-5659400,AP-3 complex subunit beta-2 n=2 Tax=Papilionoideae RepID=G7KBR5_MEDTR,IPR002553;IPR016024;IPR026739,GO:0005488;GO:0006886;GO:0016192;GO:0030117;GO:0030123
Glyma.14G068300,Gm14,5660083-5665394,uncharacterized protein LOC100811695 isoform X1 [Glycine max],IPR006869;IPR025757,NA
Glyma.14G068400,Gm14,5668934-5671125,Calcium-dependent lipid-binding (CaLB domain) family protein;,IPR000008,GO:0005515
Glyma.14G068500,Gm14,5678618-5682336,serine/arginine-rich splicing factor 33-like [Glycine max],IPR012677,GO:0000166;GO:0003676
Glyma.14G068600,Gm14,5685512-5689517,Ribosomal RNA large subunit methyltransferase N n=2 Tax=Papilionoideae RepID=G7KBR0_MEDTR,IPR004383;IPR013785,GO:0003824;GO:0005737;GO:0006364;GO:0008173;GO:0030488;GO:0051536;GO:0070475
Glyma.14G068700,Gm14,5690933-5695444,Protein kinase superfamily protein,IPR011009,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.14G068800,Gm14,5700593-5708885,AAR2 protein family;,IPR007946,NA
Glyma.14G068900,Gm14,5712148-5715895,ARM repeat superfamily protein,IPR016024;IPR024395,GO:0005488
Glyma.14G069000,Gm14,5716947-5718271,hypothetical protein,NA,NA
Glyma.14G069100,Gm14,5724705-5727046,myb transcription factor,IPR009057,GO:0003677;GO:0003682
Glyma.14G069200,Gm14,5738686-5741849,uncharacterized protein At1g66480-like [Glycine max];,IPR025322,NA
Glyma.14G069300,Gm14,5747753-5748681,uncharacterized protein LOC100798625 [Glycine max],NA,NA
Glyma.14G069400,Gm14,5757921-5758693,formin-1-like [Glycine max],NA,NA
Glyma.14G069502,Gm14,5759001-5762383,major intrinsic protein (MIP) family transporter,IPR000425;IPR023271,GO:0005215;GO:0006810;GO:0016020
Glyma.14G069600,Gm14,5765057-5769447,U-box domain-containing protein 4-like [Glycine max],IPR016024,GO:0005488;GO:0005515
Glyma.14G069700,Gm14,5780670-5782562,putative transcription factor bHLH086-like [Glycine max]; domain);,IPR011598,GO:0046983
Glyma.14G069800,Gm14,5791628-5796571,double-stranded-RNA-binding protein 4; ,IPR011907,GO:0003723;GO:0004525;GO:0016075
Glyma.14G069850,Gm14,5801700-5803634,hypothetical protein,NA,NA
Glyma.14G069900,Gm14,5806172-5807517,uncharacterized protein LOC102665063 [Glycine max],NA,NA
Glyma.14G069951,Gm14,5811775-5812086,Unknown protein,NA,NA
Glyma.14G070000,Gm14,5820816-5822122,ethylene-responsive transcription factor 5-like [Glycine max],IPR016177,GO:0003677;GO:0003700
Glyma.14G070100,Gm14,5823739-5828359,GTP binding,IPR014100;IPR027417,GO:0000287;GO:0003924;GO:0005525
Glyma.14G070200,Gm14,5836256-5839757,uncharacterized protein LOC102664495 isoform X8 [Glycine max];,IPR010865,NA
Glyma.14G070300,Gm14,5842458-5845780,glucose-induced degradation protein 8 homolog isoform X1 [Glycine max],IPR006594;IPR006595;IPR013144;IPR024964,GO:0005515
Glyma.14G070400,Gm14,5844340-5848324,ATP-dependent protease La (LON) domain protein; ,IPR003111;IPR015947,GO:0004176;GO:0006508
Glyma.14G070500,Gm14,5855410-5857528,Thioredoxin superfamily protein,IPR005746;IPR012336,GO:0006662;GO:0015035;GO:0045454
Glyma.14G070600,Gm14,5858072-5864620,beta-galactosidase 5,IPR001944;IPR017853,GO:0005975
Glyma.14G070700,Gm14,5884664-5889463,BEL1-like homeodomain protein 3-like isoform X2 [Glycine max],IPR006563;IPR009057,GO:0003677;GO:0003700;GO:0043565
Glyma.14G070800,Gm14,5898739-5901247,Peroxidase superfamily protein,IPR010255,GO:0004601;GO:0006979;GO:0020037;GO:0055114
Glyma.14G070902,Gm14,5901977-5906205,uncharacterized protein LOC100791337 isoform X3 [Glycine max],NA,NA
Glyma.14G071000,Gm14,5908411-5911942,26S protease regulatory subunit 7-like [Glycine max],IPR005937;IPR027417,GO:0000166;GO:0005524;GO:0005737;GO:0016787;GO:0017111;GO:0030163
Glyma.14G071100,Gm14,5912036-5915996,"TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein;",IPR006634,GO:0016021
Glyma.14G071200,Gm14,5917216-5921132,NAD-dependent epimerase/dehydratase family protein -binding domain); ,IPR001509;IPR016040,GO:0003824;GO:0044237;GO:0050662
Glyma.14G071300,Gm14,5922480-5926579,uncharacterized protein LOC100795191 isoform X3 [Glycine max],IPR013083,GO:0005515;GO:0008270
Glyma.14G071400,Gm14,5929221-5930288,BZIP transcription factor,IPR004827,GO:0003700;GO:0043565
Glyma.14G071500,Gm14,5930387-5930512,conserved peptide upstream open reading frame 5,NA,NA
Glyma.14G071600,Gm14,5952997-5956161,HXXXD-type acyl-transferase family protein,IPR003480;IPR023213,NA
Glyma.14G071700,Gm14,5974001-5978226,Wound-responsive family protein;,IPR003729,GO:0004518
Glyma.14G071900,Gm14,5979689-5985279,Sec14p-like phosphatidylinositol transfer family protein,IPR001071;IPR011074,GO:0005215;GO:0005622;GO:0006810
Glyma.14G072001,Gm14,5986981-5990683,Protein kinase superfamily protein;,IPR011009,NA
Glyma.14G072101,Gm14,5994556-5995127,Heavy metal transport/detoxification superfamily protein,IPR006121,GO:0030001;GO:0046872
Glyma.14G072200,Gm14,5995933-6000053,inositol-pentakisphosphate 2-kinase 1,IPR009286,GO:0005524;GO:0035299
Glyma.14G072300,Gm14,6010619-6016562,jasmonic acid carboxyl methyltransferase;,IPR005299,GO:0008168
Glyma.14G072350,Gm14,6023216-6024042,Unknown protein,NA,NA
Glyma.14G072400,Gm14,6025326-6026245,50S ribosomal protein L31,IPR002150,GO:0003735;GO:0005622;GO:0005840;GO:0006412
Glyma.14G072500,Gm14,6028693-6034707,Glucose-1-phosphate adenylyltransferase family protein,IPR011831,GO:0005978;GO:0008878;GO:0009058;GO:0016779
Glyma.14G072600,Gm14,6033907-6039004,"mannan endo-1,4-beta-mannosidase 7-like [Glycine max];",IPR017853,GO:0005975
Glyma.14G072700,Gm14,6047087-6051314,dihydroflavonol 4-reductase -binding domain); ,IPR001509;IPR016040,GO:0003824;GO:0044237;GO:0050662
Glyma.14G072800,Gm14,6056173-6057998,dihydroflavonol 4-reductase; -binding domain); ,IPR016040,GO:0003854;GO:0006694;GO:0055114
Glyma.14G073000,Gm14,6065545-6068984,proteasome alpha subunit F1,IPR000426;IPR001353,GO:0004175;GO:0004298;GO:0005839;GO:0006511;GO:0051603
Glyma.14G073100,Gm14,6073995-6077487,pfkB-like carbohydrate kinase family protein;,IPR011611,NA
Glyma.14G073200,Gm14,6086545-6088671,hypothetical protein,NA,NA
Glyma.14G073300,Gm14,6093930-6097985,phloem protein 2-B2,IPR001810;IPR025886,GO:0005515
Glyma.14G073500,Gm14,6106028-6109929,tubby-like F-box protein 5-like isoform X4 [Glycine max],IPR001810;IPR025659,GO:0005515
Glyma.14G073601,Gm14,6110062-6112263,titin-like [Glycine max],NA,NA
Glyma.14G073700,Gm14,6113069-6115770,pentatricopeptide (PPR) repeat-containing protein,IPR002885;IPR011990,GO:0005515
Glyma.14G073800,Gm14,6117757-6129539,U-box domain-containing protein 5-like isoform X1 [Glycine max],NA,NA
Glyma.14G074000,Gm14,6137996-6139774,uncharacterized protein LOC100802462 [Glycine max],NA,NA
Glyma.14G074100,Gm14,6147648-6152356,sugar porter (SP) family MFS transporter,IPR005828;IPR016196,GO:0005215;GO:0006810;GO:0016020;GO:0016021;GO:0022857;GO:0022891;GO:0055085
Glyma.14G074300,Gm14,6157644-6161125,3-ketoacyl-CoA synthase 4,IPR012392;IPR016039,GO:0003824;GO:0006633;GO:0008152;GO:0008610;GO:0016020
Glyma.14G074402,Gm14,6164051-6168581,Maf-like protein;,IPR003697,GO:0005737
Glyma.14G074500,Gm14,6169851-6170836,transcription factor RADIALIS-like [Glycine max],IPR009057,GO:0003677;GO:0003682
Glyma.14G074601,Gm14,6179584-6179928,Unknown protein,NA,NA
Glyma.14G074700,Gm14,6191876-6197711,Protein kinase superfamily protein,IPR000595;IPR001611;IPR003591;IPR011009,GO:0004672;GO:0005515;GO:0005524;GO:0006468
Glyma.14G074900,Gm14,6199993-6207462,probable methyltransferase PMT28-like [Glycine max];,IPR004159,GO:0008168
Glyma.14G075000,Gm14,6208199-6215911,tRNA wybutosine-synthesizing-like protein; ,IPR001094;IPR007197;IPR013785;IPR013917,GO:0003824;GO:0005506;GO:0010181;GO:0016491;GO:0051536;GO:0055114
Glyma.14G075100,Gm14,6220384-6221713,uncharacterized protein LOC100800320 [Glycine max],NA,NA
Glyma.14G075200,Gm14,6232962-6236582,Erythronate-4-phosphate dehydrogenase family protein,NA,NA
Glyma.14G075300,Gm14,6236583-6238909,Sec14p-like phosphatidylinositol transfer family protein,IPR001251;IPR011074,NA
Glyma.14G075500,Gm14,6259555-6266789,"glucan endo-1,3-beta-D-glucosidase-like [Glycine max]; ",IPR000490;IPR012946;IPR017853,GO:0005975
Glyma.14G075700,Gm14,6281180-6283550,like COV 3;,IPR007462,NA
Glyma.14G075800,Gm14,6292775-6301638,GYF domain-containing protein;,IPR003169,GO:0005515
Glyma.14G075900,Gm14,6302022-6303956,uncharacterized protein LOC100803339 isoform X1 [Glycine max];,IPR010608,NA
Glyma.14G076000,Gm14,6311535-6314380,"outer envelope pore protein 24, chloroplastic-like [Glycine max]",NA,NA
Glyma.14G076101,Gm14,6321740-6323111,uncharacterized protein LOC102669463 [Glycine max],NA,NA
Glyma.14G076200,Gm14,6324896-6327572,unknown protein; LOCATED IN: endoplasmic reticulum; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages;,IPR015943,GO:0005515
Glyma.14G076350,Gm14,6353507-6356484,Cytochrome P450 superfamily protein; ,IPR001128,GO:0005506;GO:0020037;GO:0055114
Glyma.14G076500,Gm14,6358262-6367452,PPPDE putative thiol peptidase family protein;,IPR008580,NA
Glyma.14G076600,Gm14,6374550-6377670,Nucleotide-diphospho-sugar transferase family protein,IPR003388;IPR005069,NA
Glyma.14G076700,Gm14,6378101-6387361,Protein phosphatase 2C family protein; -like domain);,IPR001932,GO:0003824
Glyma.14G076800,Gm14,6390422-6398973,peroxisomal biogenesis factor 11 family protein,IPR008733,GO:0005779;GO:0016559
Glyma.14G076900,Gm14,6396938-6398868,BES1/BZR1 homolog protein 2-like [Glycine max];,IPR008540,NA
Glyma.14G077000,Gm14,6402788-6407544,methyltransferase-like protein 2-like isoform X1 [Glycine max],IPR002052;IPR007757,GO:0003676;GO:0006139;GO:0008168;GO:0032259
Glyma.14G077100,Gm14,6433036-6435759,Protein of unknown function (DUF607);,IPR006769,NA
Glyma.14G077200,Gm14,6444922-6453388,"Surface protease GP63, putative n=12 Tax=Trypanosoma cruzi RepID=Q4CP24_TRYCC",IPR000742;IPR001577,GO:0004222;GO:0005515;GO:0006508;GO:0007155;GO:0016020
Glyma.14G077267,Gm14,6455322-6457290,thaumatin-like protein 3;,IPR001938,NA
Glyma.14G077333,Gm14,6465503-6467515,thaumatin-like protein 3;,IPR001938,NA
Glyma.14G077400,Gm14,6469960-6471532,thaumatin-like protein 3;,IPR001938,NA
Glyma.14G077500,Gm14,6475692-6481019,lysophosphatidyl acyltransferase 4;,IPR002123,GO:0008152
Glyma.14G077600,Gm14,6502245-6504215,probable galacturonosyltransferase-like 1-like [Glycine max];,IPR002495,NA
Glyma.14G077700,Gm14,6519267-6521455,Protein kinase superfamily protein,IPR011009;IPR013320;IPR018392,GO:0004672;GO:0005524;GO:0006468;GO:0016998
Glyma.14G077800,Gm14,6521538-6528851,protein DA1-like isoform X2 [Glycine max]; ,IPR001781;IPR003903;IPR022087,GO:0008270
Glyma.14G077900,Gm14,6536019-6540845,"type I inositol 1,4,5-trisphosphate 5-phosphatase 11-like [Glycine max];",IPR005135,GO:0046856
Glyma.14G078000,Gm14,6547761-6556962,MATE efflux family protein,IPR002528,GO:0006855;GO:0015238;GO:0015297;GO:0016020;GO:0055085
Glyma.14G078100,Gm14,6558049-6561669,ribosomal protein S9,IPR000754;IPR020568,GO:0003735;GO:0005840;GO:0006412
Glyma.14G078200,Gm14,6563925-6567929,uncharacterized protein LOC100807624 isoform X2 [Glycine max];,IPR006852,NA
Glyma.14G078301,Gm14,6569962-6570547,Unknown protein,NA,NA
Glyma.14G078400,Gm14,6582470-6585796,exocyst complex component sec3A;,IPR019160,NA
Glyma.14G078500,Gm14,6588167-6592656,Pre-mRNA-splicing factor ISY1;,IPR009360,NA
Glyma.14G078600,Gm14,6598509-6601228,allene oxide synthase,IPR001128,GO:0004497;GO:0005506;GO:0020037;GO:0055114
Glyma.14G078700,Gm14,6614801-6618140,exocyst complex component sec3A;,IPR019160,NA
Glyma.14G078800,Gm14,6640606-6648524,Protein kinase superfamily protein,IPR011009;IPR013320;IPR014729,GO:0004672;GO:0004713;GO:0005524;GO:0006468
Glyma.14G078900,Gm14,6651747-6655566,WD repeat-containing protein 5-like [Glycine max],IPR015943;IPR020472,GO:0005515
Glyma.14G079000,Gm14,6668066-6673112,myb family transcription factor APL-like isoform X1 [Glycine max],IPR009057,GO:0003677;GO:0003682
Glyma.14G079100,Gm14,6702284-6706194,plant-specific B3-DNA-binding domain protein;,IPR015300,GO:0003677
Glyma.14G079200,Gm14,6713687-6718405,B3 DNA-binding domain protein;,IPR015300,GO:0003677
Glyma.14G079333,Gm14,6721426-6724096,"signal peptidase I, putative",NA,NA
Glyma.14G079400,Gm14,6761085-6768119,nucleobase-ascorbate transporter 7,IPR006043,GO:0005215;GO:0006810;GO:0016020;GO:0055085
Glyma.14G079500,Gm14,6772936-6777634,Disease resistance protein (TIR-NBS-LRR class) family,IPR000767;IPR008808;IPR027417,GO:0006952;GO:0043531
Glyma.14G079600,Gm14,6780326-6784225,Disease resistance protein (TIR-NBS-LRR class),IPR000767;IPR001611;IPR008808;IPR027417,GO:0005515;GO:0006952;GO:0043531
Glyma.14G079700,Gm14,6794600-6797743,"protein OSB1, mitochondrial-like isoform X4 [Glycine max];",IPR000424,GO:0003697
Glyma.14G079900,Gm14,6814752-6819229,"protein OSB1, mitochondrial-like isoform X4 [Glycine max];",IPR000424,GO:0003697
Glyma.14G079950,Gm14,6823959-6825281,Unknown protein,NA,NA
Glyma.14G080025,Gm14,6830301-6830962,Unknown protein,NA,NA
Glyma.14G080100,Gm14,6850584-6857838,Protein kinase superfamily protein; ,IPR011009,GO:0004672;GO:0005524;GO:0006468
Glyma.14G080200,Gm14,6861586-6863134,vitellogenin-2-like [Glycine max];,IPR012442,NA
Glyma.14G080400,Gm14,6887553-6891971,uncharacterized protein LOC100801978 isoform X3 [Glycine max],IPR006869;IPR025757,NA
Glyma.14G080500,Gm14,6907475-6914536,serine carboxypeptidase-like 40,IPR001563,GO:0004185;GO:0006508
Glyma.14G080600,Gm14,6914898-6919423,RNA-binding protein 42-like [Glycine max],IPR012677,GO:0000166;GO:0003676
Glyma.14G080701,Gm14,6924956-6926026,uncharacterized protein LOC100820052 [Glycine max],NA,NA
Glyma.14G080800,Gm14,6935003-6946661,Calcineurin-like metallo-phosphoesterase superfamily protein;,IPR004843,GO:0016787
Glyma.14G080900,Gm14,6946901-6949983,P-loop containing nucleoside triphosphate hydrolases superfamily protein,IPR000863;IPR027417,GO:0008146
Glyma.14G081000,Gm14,6957829-6961604,heme oxygenase 2 activity),IPR016053;IPR016084,GO:0004392;GO:0006788;GO:0055114
Glyma.14G081100,Gm14,6962350-6971373,uncharacterized protein LOC100775692 isoform X1 [Glycine max];,IPR016024,GO:0005488
Glyma.14G081200,Gm14,6975226-6978671,PATATIN-like protein 4,IPR016035,GO:0006629;GO:0008152
Glyma.14G081300,Gm14,6978572-6981816,PATATIN-like protein 4,IPR016035,GO:0006629;GO:0008152
Glyma.14G081500,Gm14,6988590-6992149,PATATIN-like protein 4,IPR016035,GO:0006629;GO:0008152
Glyma.14G081600,Gm14,7006885-7011227,26S proteasome regulatory subunit n=8 Tax=Sordariomycetidae RepID=F8MZR3_NEUT8,IPR000555;IPR024969,GO:0005515
Glyma.14G081700,Gm14,7015212-7020529,succinate dehydrogenase;,IPR025397,NA
Glyma.14G081800,Gm14,7021235-7022268,uncharacterized protein LOC100777837 [Glycine max],NA,NA
Glyma.14G081900,Gm14,7024253-7025014,hypothetical protein,NA,NA
Glyma.14G082000,Gm14,7026653-7032028,uncharacterized protein LOC100778720 [Glycine max],NA,NA
Glyma.14G082100,Gm14,7034979-7038199,origin recognition complex second largest subunit 2; ,IPR007220,GO:0000808;GO:0005634;GO:0006260
Glyma.14G082200,Gm14,7042489-7048972,"Protein phosphatase 2C family protein; -like domain),",IPR001932;IPR015655,GO:0003824
